country,Country Code,ATE
Afghanistan,AFG,97.69999695
Albania,ALB,100
Algeria,DZA,99.5
American Samoa,ASM,..
Andorra,AND,100
Angola,AGO,45.64279938
Antigua and Barbuda,ATG,100
Arab World,ARB,89.99994555
Argentina,ARG,100
Armenia,ARM,100
Aruba,ABW,100
Australia,AUS,100
Austria,AUT,100
Azerbaijan,AZE,100
"Bahamas, The",BHS,100
Bahrain,BHR,100
Bangladesh,BGD,92.19999695
Barbados,BRB,100
Belarus,BLR,100
Belgium,BEL,100
Belize,BLZ,92.72000122
Benin,BEN,40.32868958
Bermuda,BMU,100
Bhutan,BTN,100
Bolivia,BOL,95.08000183
Bosnia and Herzegovina,BIH,100
Botswana,BWA,69.95973969
Brazil,BRA,99.80000305
British Virgin Islands,VGB,100
Brunei Darussalam,BRN,100
Bulgaria,BGR,100
Burkina Faso,BFA,18.37485504
Burundi,BDI,11.35652828
Cabo Verde,CPV,91.40000153
Cambodia,KHM,84
Cameroon,CMR,63.48987961
Canada,CAN,100
Caribbean small states,CSS,98.22195403
Cayman Islands,CYM,100
Central African Republic,CAF,14.30000019
Central Europe and the Baltics,CEB,100
Chad,TCD,8.399999619
Channel Islands,CHI,100
Chile,CHL,100
China,CHN,100
Colombia,COL,99.75592041
Comoros,COM,84.29777527
"Congo, Dem. Rep.",COD,19.10000038
"Congo, Rep.",COG,48.40747452
Costa Rica,CRI,99.70999908
Cote d'Ivoire,CIV,68.45955658
Croatia,HRV,100
Cuba,CUB,99.80000305
Curacao,CUW,100
Cyprus,CYP,100
Czech Republic,CZE,100
Denmark,DNK,100
Djibouti,DJI,61.21192932
Dominica,DMA,100
Dominican Republic,DOM,99
Early-demographic dividend,EAR,92.25127606
East Asia & Pacific,EAS,98.05755679
East Asia & Pacific (excluding high income),EAP,97.85089599
East Asia & Pacific (IDA & IBRD),TEA,98.44227382
Ecuador,ECU,99.08999634
"Egypt, Arab Rep.",EGY,100
El Salvador,SLV,97.36000061
Equatorial Guinea,GNQ,66.60004425
Eritrea,ERI,50.93699265
Estonia,EST,100
Eswatini,SWZ,76.86943817
Ethiopia,ETH,48.063591
Euro area,EMU,100
Europe & Central Asia,ECS,99.99325153
Europe & Central Asia (excluding high income),ECA,99.98444102
Europe & Central Asia (IDA & IBRD),TEC,99.98651433
European Union,EUU,100
Faroe Islands,FRO,100
Fiji,FJI,99.71588135
Finland,FIN,100
France,FRA,100
French Polynesia,PYF,100
Gabon,GAB,90.72629547
"Gambia, The",GMB,62.09999847
Georgia,GEO,100
Germany,DEU,100
Ghana,GHA,83.5
Gibraltar,GIB,100
Greece,GRC,100
Greenland,GRL,100
Grenada,GRD,93.12096405
Guam,GUM,100
Guatemala,GTM,95.74200439
Guinea,GIN,42.20000076
Guinea-Bissau,GNB,30.96155739
Guyana,GUY,91.91575623
Haiti,HTI,45.99023438
Heavily indebted poor countries (HIPC),HPC,44.98610282
High income,HIC,99.98504682
Honduras,HND,91.09999847
"Hong Kong SAR, China",HKG,100
Hungary,HUN,100
IBRD only,IBD,98.31733801
Iceland,ISL,100
IDA & IBRD total,IBT,88.4214883
IDA blend,IDB,66.99886493
IDA only,IDX,56.20714372
IDA total,IDA,59.83457813
India,IND,97.30826569
Indonesia,IDN,98.84999847
"Iran, Islamic Rep.",IRN,100
